from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Domododevo,Moscow,Russia,38.51,55.681,Penza Airport,Penza,Russia,45.035,53.184,Aerocondor,Portugal,504
Kazan,Kazan,Russia,49.464,56.01,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,265
Nizhnevartovsk,Nizhnevartovsk,Russia,76.806,61.582,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,1538
Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Juliaca,Juliaca,Peru,-69.597,-15.112,Star Peru (2I),Peru,203
Juliaca,Juliaca,Peru,-69.597,-15.112,Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Star Peru (2I),Peru,203
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Star Peru (2I),Peru,580
Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Star Peru (2I),Peru,270
Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,-3.885,11.266,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,-3.878,5.435,Air Burkina,Burkina Faso,648
Leon M Ba,Libreville,Gabon,9.687,0.764,Cadjehoun,Cotonou,Benin,2.64,6.595,Air Burkina,Burkina Faso,1015
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Cadjehoun,Cotonou,Benin,2.64,6.595,Air Burkina,Burkina Faso,787
Seymour,Galapagos,Ecuador,-89.777,-0.09,Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Aerolineas Galapagos (Aerogal),Ecuador,1294
Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Mariscal Lamar,Cuenca,Ecuador,-78.974,-2.816,Aerolineas Galapagos (Aerogal),Ecuador,372
Chisinau Intl,Kichinau Fir/acc/com,Moldova,29.551,47.546,Ferihegy,Budapest,Hungary,19.425,47.728,Moldavian Airlines,Moldova,758
Arlanda,Stockholm,Sweden,18.531,60.086,Gallivare,Gallivare,Sweden,21.357,67.22,Yuzhmashavia,Ukraine,805
Gallivare,Gallivare,Sweden,21.357,67.22,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,805
Lycksele,Lycksele,Sweden,19.193,64.913,Arvidsjaur,Arvidsjaur,Sweden,19.469,65.983,Yuzhmashavia,Ukraine,119
Vilhelmina,Vilhelmina,Sweden,17.389,64.965,Hemavan Airport,Hemavan,Sweden,15.137,66.343,Yuzhmashavia,Ukraine,184
Larsen Bay Airport,Larsen Bay,United States,-153.962,57.891,Karuluk Airport,Karluk,United States,-154.084,57.944,Air Salone,Sierra Leone,9
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Baiyun Intl,Guangzhou,China,113.497,23.654,Air Philippines,Philippines,1878
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Daniel Z Romualdez,Tacloban,Philippines,125.046,11.379,Air Philippines,Philippines,106
Francisco Bangoy International,Davao,Philippines,126.076,7.209,Cagayan De Oro,Ladag,Philippines,125.018,8.692,Air Philippines,Philippines,201
Iloilo,Iloilo,Philippines,122.908,11.188,Francisco Bangoy International,Davao,Philippines,126.076,7.209,Air Philippines,Philippines,562
Legazpi,Legazpi,Philippines,124.243,13.261,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,388
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Francisco Bangoy International,Davao,Philippines,126.076,7.209,Air Philippines,Philippines,1011
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Ozamis,Ozamis,Philippines,124.402,8.297,Air Philippines,Philippines,815
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Busuanga,Busuanga,Philippines,120.166,12.202,Air Philippines,Philippines,308
Puerto Princesa,Puerto Princesa,Philippines,119.264,10.236,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,547
Tagbilaran,Tagbilaran,Philippines,124.422,10.106,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,642
Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,821
Southeast Iowa Regional Airport,Burlington,United States,-90.543,41.305,Lambert St Louis Intl,St. Louis,United States,-89.951,39.247,Air Choice One,United States,234
Craig Seaplane Base,Craig,United States,-132.58,55.798,Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Fly Colombia ( Interliging Flights ),Colombia,70
Metlakatla Seaplane Base,Metakatla,United States,-131.297,55.218,Ketchikan Intl,Ketchikan,United States,-131.523,55.592,Fly Colombia ( Interliging Flights ),Colombia,43
Phuket Intl,Phuket,Thailand,98.528,8.188,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,1000
Phnom Penh Intl,Phnom-penh,Cambodia,105.406,11.91,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,1151
Changi Intl,Singapore,Singapore,104.657,1.583,Noibai Intl,Hanoi,Vietnam,106.345,21.368,Jetstar Asia Airways,Singapore,2207
Changi Intl,Singapore,Singapore,104.657,1.583,Penang Intl,Penang,Malaysia,100.461,5.495,Jetstar Asia Airways,Singapore,637
Wai Sha Airport,Shantou,China,117.138,23.666,Changi Intl,Singapore,Singapore,104.657,1.583,Jetstar Asia Airways,Singapore,2799
Friedrichshafen,Friedrichshafen,Germany,9.852,48.118,Schwechat,Vienna,Austria,16.949,48.183,Intersky,Austria,526
Barcelona,Barcelona,Spain,2.13,41.495,El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Air Arabia Maroc,Morocco,759
Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Bergamo Orio Al Serio,Bergamo,Italy,10.173,46.123,Air Arabia Maroc,Morocco,2031
Saint Exupery,Lyon,France,5.151,46.21,Mohammed V Intl,Casablanca,Morocco,-7.317,33.612,Air Arabia Maroc,Morocco,1754
El Aroui Airport,El Aroui Airport,Morocco,-2.381,35.648,Mediterranee,Montpellier,France,4.605,43.96,Air Arabia Maroc,Morocco,1099
Reina Beatrix Intl,Oranjestad,Aruba,-69.359,12.835,Hato,Willemstad,Netherlands Antilles,-68.934,12.314,Tiara Air,Aruba,74
Domododevo,Moscow,Russia,38.51,55.681,Bukhara,Bukhara,Uzbekistan,64.805,40.291,Moskovia Airlines,Russia,2571
Fergana Airport,Fergana,Uzbekistan,72.241,40.598,Domododevo,Moscow,Russia,38.51,55.681,Moskovia Airlines,Russia,2967
Le Lamentin,Fort-de-france,Martinique,-60.339,14.985,George F L Charles,Castries,Saint Lucia,-60.989,14.033,Air Antilles Express,Guadeloupe,126
Las Americas Intl,Santo Domingo,Dominican Republic,-69.449,18.716,Le Raizet,Pointe-a-pitre,Guadeloupe,-61.22,16.442,Air Antilles Express,Guadeloupe,908
Xinzheng,Zhengzhou,China,114.401,34.866,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,1013
Jiangbei,Chongqing,China,107.069,30.198,Baiyun Intl,Guangzhou,China,113.497,23.654,Sichuan Airlines,China,966
Jiangbei,Chongqing,China,107.069,30.198,Wujiaba,Kunming,China,103.239,25.653,Sichuan Airlines,China,629
Jiangbei,Chongqing,China,107.069,30.198,Jinan,Jinan,China,117.359,37.428,Sichuan Airlines,China,1243
Jiangbei,Chongqing,China,107.069,30.198,Xining Caojiabu Airport,Xining,China,102.071,36.879,Sichuan Airlines,China,875
Shuangliu,Chengdu,China,104.578,30.964,Huanghua,Changcha,China,113.366,28.315,Sichuan Airlines,China,898
Shuangliu,Chengdu,China,104.578,30.964,Incheon Intl,Seoul,South Korea,126.75,37.781,Sichuan Airlines,China,2165
Shuangliu,Chengdu,China,104.578,30.964,Liangjiang,Guilin,China,110.065,25.363,Sichuan Airlines,China,822
Shuangliu,Chengdu,China,104.578,30.964,Pudong,Shanghai,China,122.342,31.238,Sichuan Airlines,China,1689
Shuangliu,Chengdu,China,104.578,30.964,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Sichuan Airlines,China,1770
Shuangliu,Chengdu,China,104.578,30.964,Qingshan,Xichang,China,102.307,28.648,Sichuan Airlines,China,338
Changzhou,Changzhou,China,120.186,32.569,Zhuhai Airport,Zhuhai,China,113.626,22.01,Sichuan Airlines,China,1340
Meilan,Haikou,China,110.764,20.558,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,1311
Baita Airport,Huhhot,China,112.373,41.419,Jinan,Jinan,China,117.359,37.428,Sichuan Airlines,China,616
Dongshan,Hailar,China,120.375,49.341,Taiping,Harbin,China,126.417,46.039,Sichuan Airlines,China,582
Taiping,Harbin,China,126.417,46.039,Tianhe,Wuhan,China,114.346,31.306,Sichuan Airlines,China,1939
Jingdezhen Airport,Jingdezhen,China,117.293,29.564,Gaoqi,Xiamen,China,118.212,24.906,Sichuan Airlines,China,525
Changbei Intl,Nanchang,China,116.5,29.441,Changle,Fuzhou,China,120.105,26.558,Sichuan Airlines,China,477
Wujiaba,Kunming,China,103.239,25.653,Lishe,Ninbo,China,121.769,30.377,Sichuan Airlines,China,1890
Longdongbao,Guiyang,China,107.334,26.897,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,525
Liangjiang,Guilin,China,110.065,25.363,Yinchuan,Yinchuan,China,106.015,38.803,Sichuan Airlines,China,1541
Lhasa-Gonggar,Lhasa,China,91.519,29.496,Jiangbei,Chongqing,China,107.069,30.198,Sichuan Airlines,China,1500
Lishe,Ninbo,China,121.769,30.377,Jiangbei,Chongqing,China,107.069,30.198,Sichuan Airlines,China,1410
Lukou,Nanjing,China,119.436,32.236,Taiping,Harbin,China,126.417,46.039,Sichuan Airlines,China,1646
Nantong Airport,Nantong,China,121.626,32.118,Tianhe,Wuhan,China,114.346,31.306,Sichuan Airlines,China,694
Taichung Ching Chuang Kang Airport,Chingchuakang,Taiwan,121.034,24.441,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,1772
Phoenix International,Sanya,China,109.687,18.504,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,1477
Baoan Intl,Shenzhen,China,114.351,23.065,Jiangbei,Chongqing,China,107.069,30.198,Sichuan Airlines,China,1073
Jinan,Jinan,China,117.359,37.428,Baita Airport,Huhhot,China,112.373,41.419,Sichuan Airlines,China,616
Binhai,Tianjin,China,117.576,39.207,Changchun,Changchun,China,125.2,43.902,Sichuan Airlines,China,820
Diwopu,Urumqi,China,87.79,44.511,Yining Airport,Yining,China,81.55,44.593,Sichuan Airlines,China,494
Tianhe,Wuhan,China,114.346,31.306,Taiping,Harbin,China,126.417,46.039,Sichuan Airlines,China,1939
Xianyang,Xi'an,China,109.252,34.745,Jiangbei,Chongqing,China,107.069,30.198,Sichuan Airlines,China,545
Xianyang,Xi'an,China,109.252,34.745,Zhongwei Xiangshan Airport,Zhongwei,China,105.257,37.954,Sichuan Airlines,China,505
Xining Caojiabu Airport,Xining,China,102.071,36.879,Shuangliu,Chengdu,China,104.578,30.964,Sichuan Airlines,China,697
Xuzhou Guanyin Airport,Xuzhou,China,117.183,34.266,Longdongbao,Guiyang,China,107.334,26.897,Sichuan Airlines,China,1247
Zhuhai Airport,Zhuhai,China,113.626,22.01,Meilan,Haikou,China,110.764,20.558,Sichuan Airlines,China,337
Eldorado Intl,Bogota,Colombia,-73.579,5.169,Gustavo Rojas Pinilla,San Andres Island,Colombia,-81.519,12.972,Aires, S.A.,1229
Eldorado Intl,Bogota,Colombia,-73.579,5.169,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,-79.588,26.12,Aires, S.A.,2415
Eldorado Intl,Bogota,Colombia,-73.579,5.169,Tres De Mayo,Puerto Asis,Colombia,-76.169,0.842,Aires, S.A.,560
Camilo Daza,Cucuta,Colombia,-72.186,8.545,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Aires, S.A.,405
Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,-79.588,26.12,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Aires, S.A.,2415
Benito Salas,Neiva,Colombia,-74.824,3.583,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Aires, S.A.,223
Vanguardia,Villavicencio,Colombia,-73.357,4.279,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Aires, S.A.,101
Nadym Airport,Nadym,Russia,73.164,65.801,Sovetsky Tyumenskaya Airport,Sovetskiy,Russia,64.007,61.533,Gazpromavia,Russia,653
Vnukovo,Moscow,Russia,37.435,55.985,Novyi Urengoy,Novy Urengoy,Russia,76.523,66.069,Gazpromavia,Russia,2331
Shah Amanat Intl,Chittagong,Bangladesh,92.355,22.416,Dubai Intl,Dubai,United Arab Emirates,55.607,25.421,United Airways,Bangladesh,3738
Zia Intl,Dhaka,Bangladesh,90.662,24.405,Jessore,Jessore,Bangladesh,89.268,23.306,United Airways,Bangladesh,187
Tribhuvan Intl,Kathmandu,Nepal,85.598,28.16,Zia Intl,Dhaka,Bangladesh,90.662,24.405,United Airways,Bangladesh,655
Ministro Pistarini,Buenos Aires,Argentina,-58.227,-34.704,Miami Intl,Miami,United States,-79.818,26.322,Aero 2000,Argentina,7156
Dawson City,Dawson,Canada,-138.547,64.071,Old Crow,Old Crow,Canada,-139.732,67.95,Air North Charter - Canada,Canada,434
Whitehorse Intl,Whitehorse,Canada,-134.446,61.182,Dawson City,Dawson,Canada,-138.547,64.071,Air North Charter - Canada,Canada,383
Kabul Intl,Kabul,Afghanistan,69.353,34.943,Indira Gandhi Intl,Delhi,India,77.171,28.944,Safi Airlines,Afghanistan,993
Hurghada Intl,Hurghada,Egypt,34.332,27.297,Zurich,Zurich,Switzerland,8.915,47.774,Belair Airlines,Switzerland,3166
Zurich,Zurich,Switzerland,8.915,47.774,Hurghada Intl,Hurghada,Egypt,34.332,27.297,Belair Airlines,Switzerland,3166
Aurel Vlaicu,Bucharest,Romania,26.17,44.838,Schonefeld,Berlin,Germany,13.87,52.633,Germanwings,Germany,1247
Bari,Bari,Italy,17.267,41.231,Stuttgart,Stuttgart,Germany,9.369,49.149,Germanwings,Germany,1074
Koln Bonn,Cologne,Germany,7.237,51.443,Bari,Bari,Italy,17.267,41.231,Germanwings,Germany,1369
Koln Bonn,Cologne,Germany,7.237,51.443,Leipzig Halle,Leipzig,Germany,12.402,51.72,Germanwings,Germany,358
Koln Bonn,Cologne,Germany,7.237,51.443,Pristina,Pristina,Serbia,21.059,42.954,Germanwings,Germany,1403
Koln Bonn,Cologne,Germany,7.237,51.443,Schonefeld,Berlin,Germany,13.87,52.633,Germanwings,Germany,472
Koln Bonn,Cologne,Germany,7.237,51.443,Zurich,Zurich,Switzerland,8.915,47.774,Germanwings,Germany,425
Fiumicino,Rome,Italy,12.417,42.34,Koln Bonn,Cologne,Germany,7.237,51.443,Germanwings,Germany,1085
Hannover,Hannover,Germany,10.141,52.768,Malpensa,Milano,Italy,9.213,46.051,Germanwings,Germany,749
Hamburg,Hamburg,Germany,10.647,54.05,Pristina,Pristina,Serbia,21.059,42.954,Germanwings,Germany,1449
Maastricht,Maastricht,Netherlands,6.283,51.519,Schonefeld,Berlin,Germany,13.87,52.633,Germanwings,Germany,532
Cote D Azur,Nice,France,7.359,44.097,Koln Bonn,Cologne,Germany,7.237,51.443,Germanwings,Germany,816
Pristina,Pristina,Serbia,21.059,42.954,Stuttgart,Stuttgart,Germany,9.369,49.149,Germanwings,Germany,1132
Sofia,Sofia,Bulgaria,23.676,43.158,Koln Bonn,Cologne,Germany,7.237,51.443,Germanwings,Germany,1538
Stuttgart,Stuttgart,Germany,9.369,49.149,Barcelona,Barcelona,Spain,2.13,41.495,Germanwings,Germany,1021
Stuttgart,Stuttgart,Germany,9.369,49.149,Leipzig Halle,Leipzig,Germany,12.402,51.72,Germanwings,Germany,357
Stuttgart,Stuttgart,Germany,9.369,49.149,Vnukovo,Moscow,Russia,37.435,55.985,Germanwings,Germany,2025
Schonefeld,Berlin,Germany,13.87,52.633,Vnukovo,Moscow,Russia,37.435,55.985,Germanwings,Germany,1565
Schwechat,Vienna,Austria,16.949,48.183,Stuttgart,Stuttgart,Germany,9.369,49.149,Germanwings,Germany,566
Akiak Airport,Akiak,United States,-160.718,61.504,Bethel,Bethel,United States,-161.73,61.299,Airbus France,France,58
Bethel,Bethel,United States,-161.73,61.299,Kwethluk Airport,Kwethluk,United States,-161.073,61.317,Airbus France,France,35
Kalskag Airport,Kalskag,United States,-159.902,61.893,Bethel,Bethel,United States,-161.73,61.299,Airbus France,France,117
Nunapitchuk Airport,Nunapitchuk,United States,-162.066,61.509,Bethel,Bethel,United States,-161.73,61.299,Airbus France,France,29
Newtok Airport,Newtok,United States,-164.402,61.565,Bethel,Bethel,United States,-161.73,61.299,Airbus France,France,145
Daniel Oduber Quiros Intl,Liberia,Costa Rica,-85.241,10.988,Cabo Velas Airport,Nicoya,Costa Rica,-85.755,10.592,CAL Cargo Air Lines,Israel,71
Tobias Bolanos International Airport,San Jose,Costa Rica,-83.567,10.595,Drake Bay Airport,Puntarenas,Costa Rica,-83.403,9.198,CAL Cargo Air Lines,Israel,156
Tobias Bolanos International Airport,San Jose,Costa Rica,-83.567,10.595,Cabo Velas Airport,Nicoya,Costa Rica,-85.755,10.592,CAL Cargo Air Lines,Israel,239
La Managua,Quepos,Costa Rica,-83.55,9.738,Arenal Airport,La Fortuna/San Carlos,Costa Rica,-84.391,10.796,CAL Cargo Air Lines,Israel,149
Entebbe Intl,Entebbe,Uganda,32.739,0.07,Jomo Kenyatta International,Nairobi,Kenya,37.545,-0.866,Fly540,Kenya,544
Lodwar,Lodwar,Kenya,36.014,3.203,Kitale,Kitale,Kenya,35.597,1.619,Fly540,Kenya,182
Malindi Airport,Malindi,Kenya,40.169,-2.716,Lamu Manda,Lamu,Kenya,41.521,-1.755,Fly540,Kenya,184
Jomo Kenyatta International,Nairobi,Kenya,37.545,-0.866,Kisumu,Kisumu,Kenya,35.214,0.523,Fly540,Kenya,301
Ukunda Airport,Ukunda,Kenya,39.952,-3.829,Nairobi Wilson,Nairobi,Kenya,37.358,-0.87,Fly540,Kenya,437
Zanzibar,Zanzibar,Tanzania,39.374,-5.704,Mombasa Moi Intl,Mombasa,Kenya,39.99,-3.392,Fly540,Kenya,265
Butuan,Butuan,Philippines,125.796,9.585,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Cebu Pacific,Philippines,163
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Dumaguete,Dumaguete,Philippines,123.5,9.556,Cebu Pacific,Philippines,163
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Cebu Pacific,Philippines,620
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Daniel Z Romualdez,Tacloban,Philippines,125.046,11.379,Cebu Pacific,Philippines,106
Diosdado Macapagal International,Angeles City,Philippines,120.933,15.309,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Cebu Pacific,Philippines,667
Dumaguete,Dumaguete,Philippines,123.5,9.556,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Cebu Pacific,Philippines,646
General Santos International Airport,General Santos City,Philippines,125.392,6.177,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Cebu Pacific,Philippines,489
Iloilo,Iloilo,Philippines,122.908,11.188,Cagayan De Oro,Ladag,Philippines,125.018,8.692,Cebu Pacific,Philippines,361
Legazpi,Legazpi,Philippines,124.243,13.261,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Cebu Pacific,Philippines,388
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Baiyun Intl,Guangzhou,China,113.497,23.654,Cebu Pacific,Philippines,1258
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Dumaguete,Dumaguete,Philippines,123.5,9.556,Cebu Pacific,Philippines,646
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Kalibo,Kalibo,Philippines,122.627,12.132,Cebu Pacific,Philippines,347
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Capital Intl,Beijing,China,116.974,40.133,Cebu Pacific,Philippines,2839
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Surigao Airport,Sangley Point,Philippines,125.798,10.262,Cebu Pacific,Philippines,726
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Cebu Pacific,Philippines,821
Puerto Princesa,Puerto Princesa,Philippines,119.264,10.236,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Cebu Pacific,Philippines,587
Changi Intl,Singapore,Singapore,104.657,1.583,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Cebu Pacific,Philippines,2419
Tagbilaran,Tagbilaran,Philippines,124.422,10.106,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Cebu Pacific,Philippines,642
Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Cebu Pacific,Philippines,821
Heroes Del Acre,Cobija,Bolivia,-68.639,-10.401,Capitán Av. Selin Zeitun Lopez Airport,Riberalta,Bolivia,-66,-11,Aerosur,Bolivia,295
El Alto Intl,La Paz,Bolivia,-67.654,-16.189,Jorge Wilsterman,Cochabamba,Bolivia,-65.629,-17.036,Aerosur,Bolivia,235
Barajas,Madrid,Spain,-3.278,40.822,Viru Viru Intl,Santa Cruz,Bolivia,-62.559,-17.408,Aerosur,Bolivia,8897
Juana Azurduy De Padilla,Sucre,Bolivia,-64.815,-18.346,Viru Viru Intl,Santa Cruz,Bolivia,-62.559,-17.408,Aerosur,Bolivia,260
Tte Av Jorge Henrich Arauz,Trinidad,Bolivia,-64.864,-14.698,Santa Cruz,Santa Cruz,Bolivia,-62.612,-17.667,Aerosur,Bolivia,408
Viru Viru Intl,Santa Cruz,Bolivia,-62.559,-17.408,Ministro Pistarini,Buenos Aires,Argentina,-58.227,-34.704,Aerosur,Bolivia,1970
Viru Viru Intl,Santa Cruz,Bolivia,-62.559,-17.408,Capitan Oriel Lea Plaza,Tarija,Bolivia,-64.503,-21.26,Aerosur,Bolivia,474
Talagi,Arkhangelsk,Russia,40.716,64.6,Leshukonskoye Airport,Arkhangelsk,Russia,46.204,65.493,Aeroflot-Nord,Russia,275
Novy,Khabarovsk,Russia,135.313,48.88,Emelyanovo,Krasnoyarsk,Russia,92.791,56.3,Aeroflot-Nord,Russia,2936
Kotlas Airport,Kotlas,Russia,47.162,61.393,Talagi,Arkhangelsk,Russia,40.716,64.6,Aeroflot-Nord,Russia,482
Pulkovo,St. Petersburg,Russia,30.437,60.333,Khrabrovo,Kaliningrad,Russia,20.987,55.483,Aeroflot-Nord,Russia,774
Murmansk,Murmansk,Russia,33.251,69.302,Sheremetyevo,Moscow,Russia,37.69,56.621,Aeroflot-Nord,Russia,1426
Alykel,Norilsk,Russia,87.553,69.518,Tolmachevo,Novosibirsk,Russia,83.084,55.021,Aeroflot-Nord,Russia,1627
Syktyvkar,Syktyvkar,Russia,51.408,62.078,Sheremetyevo,Moscow,Russia,37.69,56.621,Aeroflot-Nord,Russia,983
Ufa,Ufa,Russia,56.457,54.929,Alykel,Norilsk,Russia,87.553,69.518,Aeroflot-Nord,Russia,2239
Chacalluta,Arica,Chile,-69.898,-17.915,Diego Aracena Intl,Iquique,Chile,-69.636,-20.226,Pal airlines,Chile,258
Diego Aracena Intl,Iquique,Chile,-69.636,-20.226,El Loa,Calama,Chile,-68.84,-22.164,Pal airlines,Chile,230
Cambridge Bay,Cambridge Bay,Canada,-104.564,69.18,Gjoa Haven,Gjoa Haven,Canada,-95.75,69.059,Canadian North,Canada,349
Clyde River,Clyde River,Canada,-68.195,70.81,Iqaluit,Iqaluit,Canada,-68.26,64.26,Canadian North,Canada,728
Iqaluit,Iqaluit,Canada,-68.26,64.26,Ottawa Macdonald Cartier Intl,Ottawa,Canada,-75.449,45.537,Canadian North,Canada,2128
Gjoa Haven,Gjoa Haven,Canada,-95.75,69.059,Taloyoak,Spence Bay,Canada,-93.295,69.911,Canadian North,Canada,134
Rankin Inlet,Rankin Inlet,Canada,-91.527,63.352,Iqaluit,Iqaluit,Canada,-68.26,64.26,Canadian North,Canada,1139
Hall Beach,Hall Beach,Canada,-80.74,69.293,Iqaluit,Iqaluit,Canada,-68.26,64.26,Canadian North,Canada,779
Whale Cove Airport,Whale Cove,Canada,-92.331,62.4,Churchill,Churchill,Canada,-93.442,59.231,Canadian North,Canada,357
Churchill,Churchill,Canada,-93.442,59.231,Whale Cove Airport,Whale Cove,Canada,-92.331,62.4,Canadian North,Canada,357
Fairmont Hot Springs,Coral Harbour,Canada,-82.933,64.322,Rankin Inlet,Rankin Inlet,Canada,-91.527,63.352,Canadian North,Canada,434
Ahmedabad,Ahmedabad,India,73.057,23.128,Chennai Intl,Madras,India,80.3,13.657,IndiGo Airlines,India,1300
Bangalore,Bangalore,India,78.113,13.583,Ahmedabad,Ahmedabad,India,73.057,23.128,IndiGo Airlines,India,1187
Bangalore,Bangalore,India,78.113,13.583,Pune,Pune,India,74.532,18.97,IndiGo Airlines,India,710
Chhatrapati Shivaji Intl,Bombay,India,73.446,19.147,Indira Gandhi Intl,Delhi,India,77.171,28.944,IndiGo Airlines,India,1152
Chhatrapati Shivaji Intl,Bombay,India,73.446,19.147,Seeb Intl,Muscat,Oman,58.474,23.988,IndiGo Airlines,India,1637
Netaji Subhash Chandra Bose Intl,Calcutta,India,88.744,23.091,Dibrugarh Airport,Dibrugarh,India,95.028,27.806,IndiGo Airlines,India,820
Netaji Subhash Chandra Bose Intl,Calcutta,India,88.744,23.091,Patna,Patina,India,85.146,25.985,IndiGo Airlines,India,485
Cochin,Kochi,India,76.652,10.259,Hyderabad,Hyderabad,India,78.779,17.755,IndiGo Airlines,India,864
Indira Gandhi Intl,Delhi,India,77.171,28.944,Netaji Subhash Chandra Bose Intl,Calcutta,India,88.744,23.091,IndiGo Airlines,India,1325
Indira Gandhi Intl,Delhi,India,77.171,28.944,Jammu,Jammu,India,75.395,33.148,IndiGo Airlines,India,497
Indira Gandhi Intl,Delhi,India,77.171,28.944,Changi Intl,Singapore,Singapore,104.657,1.583,IndiGo Airlines,India,4211
Goa,Goa,India,74.385,15.634,Chhatrapati Shivaji Intl,Bombay,India,73.446,19.147,IndiGo Airlines,India,403
Hyderabad,Hyderabad,India,78.779,17.755,Cochin,Kochi,India,76.652,10.259,IndiGo Airlines,India,864
Devi Ahilyabai Holkar,Indore,India,76.335,23.202,Raipur,Raipur,India,82.231,21.3,IndiGo Airlines,India,642
Jaipur,Jaipur,India,76.353,27.373,Ahmedabad,Ahmedabad,India,73.057,23.128,IndiGo Airlines,India,576
Chennai Intl,Madras,India,80.3,13.657,Ahmedabad,Ahmedabad,India,73.057,23.128,IndiGo Airlines,India,1300
Chennai Intl,Madras,India,80.3,13.657,Thiruvananthapuram Intl,Trivandrum,India,77.533,8.803,IndiGo Airlines,India,618
Patna,Patina,India,85.146,25.985,Netaji Subhash Chandra Bose Intl,Calcutta,India,88.744,23.091,IndiGo Airlines,India,485
Raipur,Raipur,India,82.231,21.3,Netaji Subhash Chandra Bose Intl,Calcutta,India,88.744,23.091,IndiGo Airlines,India,699
Thiruvananthapuram Intl,Trivandrum,India,77.533,8.803,Bangalore,Bangalore,India,78.113,13.583,IndiGo Airlines,India,535
